# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.600000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
27            	8.070235e-02	1.400809e-02	6.669426e-02	2.512834e-17	1.420816e-03	-1.420816e-03	1.420816e-03	-2.634308e-02	-4.080844e+00	1.496287e+00	-3.332701e+00	4.828988e+00
28            	1.169450e-01	3.378151e-02	8.316350e-02	3.512135e-17	2.058891e-03	-2.058891e-03	2.058891e-03	-2.469099e-02	-4.435116e+00	1.402448e+00	-3.733892e+00	5.136340e+00
29            	1.143215e-01	3.490470e-02	7.941679e-02	4.170131e-17	2.012702e-03	-2.012702e-03	2.012702e-03	-2.225605e-02	-4.506411e+00	1.264144e+00	-3.874340e+00	5.138483e+00
30            	8.058899e-02	2.040291e-02	6.018608e-02	5.244749e-17	1.418820e-03	-1.418820e-03	1.418820e-03	-1.989159e-02	-4.330439e+00	1.129842e+00	-3.765518e+00	4.895360e+00
31            	4.209959e-02	2.610184e-03	3.948941e-02	7.133483e-17	7.411900e-04	-7.411900e-04	7.411900e-04	-1.843961e-02	-4.144335e+00	1.047370e+00	-3.620650e+00	4.668020e+00
32            	2.253596e-02	-6.840926e-03	2.937688e-02	9.803207e-17	3.967598e-04	-3.967598e-04	3.967598e-04	-1.810891e-02	-4.271025e+00	1.028586e+00	-3.756733e+00	4.785318e+00
33            	2.007966e-02	-7.341891e-03	2.742155e-02	1.272554e-16	3.535152e-04	-3.535152e-04	3.535152e-04	-1.738172e-02	-5.068385e+00	9.872818e-01	-4.574744e+00	5.562026e+00
34            	2.591585e-02	-2.862229e-03	2.877808e-02	1.481782e-16	4.562649e-04	-4.562649e-04	4.562649e-04	-1.582015e-02	-6.390218e+00	8.985847e-01	-5.940926e+00	6.839511e+00
35            	2.582697e-02	-5.128062e-04	2.633978e-02	1.550785e-16	4.547002e-04	-4.547002e-04	4.547002e-04	-1.342629e-02	-7.712330e+00	7.626134e-01	-7.331024e+00	8.093637e+00
36            	8.104864e-03	-5.833043e-03	1.393791e-02	1.435100e-16	1.426913e-04	-1.426913e-04	1.426913e-04	-9.885475e-03	-8.777204e+00	5.614950e-01	-8.496457e+00	9.057952e+00
37            	-1.566996e-02	-1.541934e-02	-2.506164e-04	1.219126e-16	-2.758795e-04	2.758795e-04	-2.758795e-04	-7.584362e-03	-9.250145e+00	4.307918e-01	-9.034749e+00	9.465541e+00
38            	-3.898002e-02	-2.583929e-02	-1.314073e-02	9.386988e-17	-6.862679e-04	6.862679e-04	-6.862679e-04	-6.349282e-03	-9.435537e+00	3.606392e-01	-9.255217e+00	9.615856e+00
39            	-5.066161e-02	-3.212962e-02	-1.853200e-02	6.605763e-17	-8.919298e-04	8.919298e-04	-8.919298e-04	-6.798809e-03	-9.494454e+00	3.861724e-01	-9.301368e+00	9.687540e+00
40            	-4.988427e-02	-3.342472e-02	-1.645955e-02	4.156197e-17	-8.782443e-04	8.782443e-04	-8.782443e-04	-8.482583e-03	-9.557614e+00	4.818107e-01	-9.316708e+00	9.798519e+00
41            	-4.413071e-02	-3.256807e-02	-1.156264e-02	2.078640e-17	-7.769491e-04	7.769491e-04	-7.769491e-04	-1.050271e-02	-9.631702e+00	5.965541e-01	-9.333425e+00	9.929979e+00
42            	-4.056686e-02	-3.288602e-02	-7.680832e-03	2.531199e-18	-7.142052e-04	7.142052e-04	-7.142052e-04	-1.260260e-02	-9.645716e+00	7.158274e-01	-9.287803e+00	1.000363e+01
43            	-4.251840e-02	-3.575660e-02	-6.761800e-03	-1.468081e-17	-7.485633e-04	7.485633e-04	-7.485633e-04	-1.449740e-02	-9.518900e+00	8.234522e-01	-9.107174e+00	9.930626e+00
44            	-4.717454e-02	-4.003694e-02	-7.137604e-03	-3.124385e-17	-8.305377e-04	8.305377e-04	-8.305377e-04	-1.644967e-02	-9.213510e+00	9.343411e-01	-8.746339e+00	9.680680e+00
45            	-5.178443e-02	-4.406670e-02	-7.717732e-03	-4.370292e-17	-9.116977e-04	9.116977e-04	-9.116977e-04	-1.817448e-02	-8.871671e+00	1.032311e+00	-8.355516e+00	9.387826e+00
46            	-5.281004e-02	-4.621918e-02	-6.590863e-03	-5.073963e-17	-9.297542e-04	9.297542e-04	-9.297542e-04	-1.981416e-02	-8.566334e+00	1.125444e+00	-8.003612e+00	9.129056e+00
47            	-4.925764e-02	-4.651396e-02	-2.743685e-03	-5.272788e-17	-8.672120e-04	8.672120e-04	-8.672120e-04	-2.188514e-02	-8.279720e+00	1.243076e+00	-7.658182e+00	8.901258e+00
48            	-4.553508e-02	-4.630272e-02	7.676337e-04	-5.003532e-17	-8.016740e-04	8.016740e-04	-8.016740e-04	-2.353518e-02	-8.131254e+00	1.336798e+00	-7.462855e+00	8.799653e+00
49            	-4.532694e-02	-4.721189e-02	1.884949e-03	-4.571332e-17	-7.980096e-04	7.980096e-04	-7.980096e-04	-2.454842e-02	-8.124668e+00	1.394350e+00	-7.427493e+00	8.821843e+00
50            	-4.755194e-02	-4.869691e-02	1.144978e-03	-4.046907e-17	-8.371820e-04	8.371820e-04	-8.371820e-04	-2.492095e-02	-8.157440e+00	1.415510e+00	-7.449686e+00	8.865195e+00
51            	-5.100819e-02	-5.053223e-02	-4.759617e-04	-3.657400e-17	-8.980315e-04	8.980315e-04	-8.980315e-04	-2.502813e-02	-8.191168e+00	1.421598e+00	-7.480369e+00	8.901967e+00
52            	-5.254679e-02	-5.137334e-02	-1.173451e-03	-3.331106e-17	-9.251196e-04	9.251196e-04	-9.251196e-04	-2.509995e-02	-8.184308e+00	1.425677e+00	-7.471470e+00	8.897147e+00
53            	-5.188125e-02	-5.132770e-02	-5.535518e-04	-3.095282e-17	-9.134023e-04	9.134023e-04	-9.134023e-04	-2.538707e-02	-8.158892e+00	1.441986e+00	-7.437899e+00	8.879885e+00
54            	-5.108263e-02	-5.129552e-02	2.128974e-04	-2.862477e-17	-8.993420e-04	8.993420e-04	-8.993420e-04	-2.575421e-02	-8.183447e+00	1.462839e+00	-7.452027e+00	8.914867e+00
